index,host,source,sourcetype,"_raw","_time"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T11:29:16-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T11:29:16.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T11:24:17-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T11:24:17.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T11:19:12-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T11:19:12.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T11:14:13-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T11:14:13.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T11:09:15-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T11:09:15.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T11:04:13-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T11:04:13.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T10:59:13-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T10:59:13.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T10:54:16-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T10:54:16.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T10:49:13-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T10:49:13.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Topology","2015-01-27T10:44:14-08:00 Name=""TESTSERVER1"" Cluster=""TESTSERVER1"" ClusterStatus=""Disabled"" Clustered="""" HubTransport=""True"" CAS=""True"" EdgeTransport=""False"" Mailbox=""True"" UMServer=""True"" ServerRole=""Mailbox, ClientAccess"" Provisioned=""False"" Site=""spl.com/Configuration/Sites/Default-First-Site-Name"" Edition=""StandardEvaluation"" ProductVersion=""15.00.0847.032"" WindowsVersion=""Windows Server 2012 R2 Datacenter"" WindowsBuild=""9600"" ServicesRunning=""IISAdmin,MSExchangeADTopology,MSExchangeFrontendTransport,MSExchangeHM,MSExchangeServiceHost,W3Svc"" ServicesNotRunning="""" ProcsOK=""True""","2015-01-27T10:44:14.000-0800"
