index,host,source,sourcetype,"_raw","_time"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""splunk-winhostinfo.exe""
ProcessId=17060
CommandLine=""""C:\Program Files\Splunk\bin\splunk-winhostinfo.exe""""
StartTime=""20150126145748.596442-480""
Host=""TESTSERVER1""
Path=""C:\Program Files\Splunk\bin\splunk-winhostinfo.exe""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""WmiPrvSE.exe""
ProcessId=12896
CommandLine=""C:\Windows\system32\wbem\wmiprvse.exe""
StartTime=""20150126145411.177721-480""
Host=""TESTSERVER1""
Path=""C:\Windows\system32\wbem\wmiprvse.exe""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""splunkd.exe""
ProcessId=16156
CommandLine=""""C:\Program Files\Splunk/bin/splunkd"" instrument-resource-usage -p 8089""
StartTime=""20150126145409.272063-480""
Host=""TESTSERVER1""
Path=""C:\Program Files\Splunk\bin\splunkd.exe""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""splunk-winevtlog.exe""
ProcessId=8156
CommandLine=""""C:\Program Files\Splunk\bin\splunk-winevtlog.exe""""
StartTime=""20150126145408.678511-480""
Host=""TESTSERVER1""
Path=""C:\Program Files\Splunk\bin\splunk-winevtlog.exe""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""splunk-perfmon.exe""
ProcessId=15372
CommandLine=""""C:\Program Files\Splunk\bin\splunk-perfmon.exe""""
StartTime=""20150126145408.584795-480""
Host=""TESTSERVER1""
Path=""C:\Program Files\Splunk\bin\splunk-perfmon.exe""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""splunk-admon.exe""
ProcessId=5804
CommandLine=""""C:\Program Files\Splunk\bin\splunk-admon.exe""""
StartTime=""20150126145408.491076-480""
Host=""TESTSERVER1""
Path=""C:\Program Files\Splunk\bin\splunk-admon.exe""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""python.exe""
ProcessId=15908
CommandLine=""""C:\Program Files\Splunk\bin\Python.EXE"" -O ""C:\Program Files\Splunk\Python-2.7\Lib\site-packages\splunk\appserver\mrsparkle\root.py"" --proxied=127.0.0.1,8065,8000""
StartTime=""20150126145408.459838-480""
Host=""TESTSERVER1""
Path=""C:\Program Files\Splunk\bin\Python.EXE""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""splunk-MonitorNoHandle.exe""
ProcessId=9960
CommandLine=""""C:\Program Files\Splunk\bin\splunk-MonitorNoHandle.exe""""
StartTime=""20150126145408.428605-480""
Host=""TESTSERVER1""
Path=""C:\Program Files\Splunk\bin\splunk-MonitorNoHandle.exe""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""mongod.exe""
ProcessId=3476
CommandLine=""mongod ""--dbpath=C:\Program Files\Splunk\var\lib\splunk/kvstore\mongo"" --port=8191 --timeStampFormat=iso8601-utc --smallfiles --oplogSize=1000 ""--keyFile=C:\Program Files\Splunk\var\lib\splunk/kvstore\mongo\splunk.key"" --setParameter=enableLocalhostAuthBypass=0 --sslMode=preferSSL ""--sslPEMKeyFile=C:\Program Files\Splunk\etc\auth\server.pem"" --sslPEMKeyPassword=password""
StartTime=""20150126145408.069400-480""
Host=""TESTSERVER1""
Path=""C:\Program Files\Splunk\bin\mongod.exe""","2015-01-26T14:57:48.000-0800"
windows,TestServer1,processes,WinHostMon,"Type=Process
Name=""conhost.exe""
ProcessId=16120
CommandLine=""\??\C:\Windows\system32\conhost.exe 0x4""
StartTime=""20150126145401.056512-480""
Host=""TESTSERVER1""
Path=""C:\Windows\system32\conhost.exe""","2015-01-26T14:57:48.000-0800"
