index,host,source,sourcetype,"_raw","_time"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""splunkweb""
DisplayName=""splunkweb (legacy purposes only)""
Description=""The splunkweb service, which handled all Splunk Web operations and sent requests to the splunkd service, has been disabled stating in Splunk 6.2. The splunkd service now handles all Splunk Enterprise services in normal operation. On Windows, the splunkweb service installs, but does not run by default.""
Path=""""C:\Program Files\Splunk\bin\splunkweb.exe""""
ServiceType=""Own Process""
StartMode=""Auto""
Started=false
State=""Stopped""
Status=""OK""
ProcessId=0","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""Splunkd""
DisplayName=""Splunkd Service""
Description=""Splunkd is the indexing and searching engine for Splunk, a data platform for operational intelligence. It is required for Splunk instances acting as an indexer. If it is stopped, Splunk will not process data and will be unavailable for search. Splunkweb depends on Splunkd. Please see www.splunk.com for more information. Questions can be submitted to www.splunk.com/answers or for supported customers www.splunk.com/page/submit_issue""
Path=""""C:\Program Files\Splunk\bin\splunkd.exe"" service""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=6436","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""MSExchangeUMCR""
DisplayName=""Microsoft Exchange Unified Messaging Call Router""
Description=""Enables Microsoft Exchange Unified Messaging Call Router features. ""
Path=""""C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\CallRouter\Microsoft.Exchange.UM.CallRouter.exe""""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=7892","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""MSExchangePOP3""
DisplayName=""Microsoft Exchange POP3""
Description=""Provides Post Office Protocol version 3 service to clients. If this service is stopped, clients can't connect to this computer using the POP3 protocol.""
Path=""""C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\PopImap\Microsoft.Exchange.Pop3Service.exe""""
ServiceType=""Own Process""
StartMode=""Manual""
Started=true
State=""Running""
Status=""OK""
ProcessId=3484","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""MSExchangeIMAP4""
DisplayName=""Microsoft Exchange IMAP4""
Description=""Provides Internet Message Access Protocol service to clients. If this service is stopped, clients won't be able to connect to this computer using the IMAP4 protocol.""
Path=""""C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\PopImap\Microsoft.Exchange.Imap4Service.exe""""
ServiceType=""Own Process""
StartMode=""Manual""
Started=true
State=""Running""
Status=""OK""
ProcessId=8724","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""MSExchangeFrontendTransport""
DisplayName=""Microsoft Exchange Frontend Transport""
Description=""This service proxies SMTP connections inbound to Hub servers and outbound from Hub servers""
Path=""""C:\Program Files\Microsoft\Exchange Server\V15\Bin\MSExchangeFrontendTransport.exe""""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=6696","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""MSExchangeFastSearch""
DisplayName=""Microsoft Exchange Search""
Description=""Drives indexing and querying of data for Exchange.""
Path=""""C:\Program Files\Microsoft\Exchange Server\V15\bin\Microsoft.Exchange.Search.Service.exe""""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=5520","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""MSExchangeDagMgmt""
DisplayName=""Microsoft Exchange DAG Management""
Description=""The Microsoft Exchange DAG Management service provides storage management and database layout management functionality for Mailbox servers in a database availability group.""
Path=""""C:\Program Files\Microsoft\Exchange Server\V15\Bin\MSExchangeDagMgmt.exe""""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=2340","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""MSExchangeRepl""
DisplayName=""Microsoft Exchange Replication""
Description=""The Microsoft Exchange Replication service provides replication functionality for mailbox databases on Mailbox servers in a database availability group.""
Path=""""C:\Program Files\Microsoft\Exchange Server\V15\Bin\msexchangerepl.exe""""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=4668","2015-01-26T15:00:09.000-0800"
windows,TestServer1,services,WinHostMon,"Type=Service
Name=""MSExchangeThrottling""
DisplayName=""Microsoft Exchange Throttling""
Description=""Limits the rate of user operations.""
Path=""""C:\Program Files\Microsoft\Exchange Server\V15\Bin\MSExchangeThrottling.exe""""
ServiceType=""Own Process""
StartMode=""Auto""
Started=true
State=""Running""
Status=""OK""
ProcessId=6096","2015-01-26T15:00:09.000-0800"
