index,host,source,sourcetype,"_raw","_time"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:50:40 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10300488
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\NETWORK SERVICE
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E4

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_13fc8e4c27ac429cb
	Account Name:		SM_13fc8e4c27ac429cb
	Account Domain:		SPL
	Logon ID:		0xDA5D93
	Logon GUID:		{0F117D99-0E48-DEB3-0CE2-BFB276C83111}

Process Information:
	Process ID:		0x20f8
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\ClientAccess\PopImap\Microsoft.Exchange.Imap4.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:50:40.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:50:40 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10300407
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\SYSTEM
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E7

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_13fc8e4c27ac429cb
	Account Name:		SM_13fc8e4c27ac429cb
	Account Domain:		SPL
	Logon ID:		0xDA5CC0
	Logon GUID:		{0F117D99-0E48-DEB3-0CE2-BFB276C83111}

Process Information:
	Process ID:		0x1cc8
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\PopImap\Microsoft.Exchange.Imap4.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:50:40.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:49:47 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10298914
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\NETWORK SERVICE
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E4

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_1d72d2bf46e14e679
	Account Name:		SM_1d72d2bf46e14e679
	Account Domain:		SPL
	Logon ID:		0xD7BC7D
	Logon GUID:		{5D37B612-40D8-AEAC-79BD-A3630ABB8522}

Process Information:
	Process ID:		0x20f8
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\ClientAccess\PopImap\Microsoft.Exchange.Imap4.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:49:47.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:49:30 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10298655
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\NETWORK SERVICE
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E4

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_1d72d2bf46e14e679
	Account Name:		SM_1d72d2bf46e14e679
	Account Domain:		SPL
	Logon ID:		0xD70B55
	Logon GUID:		{07AA34F4-02D2-F07A-3D36-660D792937A8}

Process Information:
	Process ID:		0x3680
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\ClientAccess\PopImap\Microsoft.Exchange.Pop3.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:49:30.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:49:02 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10297656
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\NETWORK SERVICE
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E4

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_13fc8e4c27ac429cb
	Account Name:		SM_13fc8e4c27ac429cb
	Account Domain:		SPL
	Logon ID:		0xD5CFE8
	Logon GUID:		{A4BCE454-D2EF-7983-2D00-D87793A904FD}

Process Information:
	Process ID:		0x3680
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\ClientAccess\PopImap\Microsoft.Exchange.Pop3.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:49:02.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:49:02 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10297577
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\SYSTEM
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E7

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_13fc8e4c27ac429cb
	Account Name:		SM_13fc8e4c27ac429cb
	Account Domain:		SPL
	Logon ID:		0xD5CF31
	Logon GUID:		{A4BCE454-D2EF-7983-2D00-D87793A904FD}

Process Information:
	Process ID:		0x1af8
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\PopImap\Microsoft.Exchange.Pop3.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:49:02.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:46:47 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10292953
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\NETWORK SERVICE
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E4

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_1d72d2bf46e14e679
	Account Name:		SM_1d72d2bf46e14e679
	Account Domain:		SPL
	Logon ID:		0xC7D179
	Logon GUID:		{DEDBE74C-291F-9644-0C73-1B5FF2556954}

Process Information:
	Process ID:		0x20f8
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\ClientAccess\PopImap\Microsoft.Exchange.Imap4.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:46:47.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:46:40 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10292733
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\NETWORK SERVICE
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E4

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_13fc8e4c27ac429cb
	Account Name:		SM_13fc8e4c27ac429cb
	Account Domain:		SPL
	Logon ID:		0xC795B6
	Logon GUID:		{014DD595-DC59-4573-4B1C-09B6C014BCF4}

Process Information:
	Process ID:		0x20f8
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\ClientAccess\PopImap\Microsoft.Exchange.Imap4.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:46:40.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:46:40 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10292666
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\SYSTEM
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E7

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_13fc8e4c27ac429cb
	Account Name:		SM_13fc8e4c27ac429cb
	Account Domain:		SPL
	Logon ID:		0xC794FF
	Logon GUID:		{014DD595-DC59-4573-4B1C-09B6C014BCF4}

Process Information:
	Process ID:		0x1cc8
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\FrontEnd\PopImap\Microsoft.Exchange.Imap4.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:46:40.000-0800"
wineventlog,TestServer1,"WinEventLog:Security","WinEventLog:Security","02/24/2015 01:46:30 PM
LogName=Security
SourceName=Microsoft Windows security auditing.
EventCode=4624
EventType=0
Type=Information
ComputerName=TestServer1.spl.com
TaskCategory=Logon
OpCode=Info
RecordNumber=10292438
Keywords=Audit Success
Message=An account was successfully logged on.

Subject:
	Security ID:		NT AUTHORITY\NETWORK SERVICE
	Account Name:		TESTSERVER1$
	Account Domain:		SPL
	Logon ID:		0x3E4

Logon Type:			8

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SPL\SM_1d72d2bf46e14e679
	Account Name:		SM_1d72d2bf46e14e679
	Account Domain:		SPL
	Logon ID:		0xC72F42
	Logon GUID:		{968D7C8A-5971-B155-D787-360DC4F46B45}

Process Information:
	Process ID:		0x3680
	Process Name:		C:\Program Files\Microsoft\Exchange Server\V15\ClientAccess\PopImap\Microsoft.Exchange.Pop3.exe

Network Information:
	Workstation Name:	TESTSERVER1
	Source Network Address:	-
	Source Port:		-

Detailed Authentication Information:
	Logon Process:		Advapi  
	Authentication Package:	Negotiate
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","2015-02-24T13:46:30.000-0800"
