index,host,source,sourcetype,"_raw","_time"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","search for admin audit log entries.","2015-02-18T14:43:01.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","installed. The mailbox must be moved to an Exchange 2013 server before you can ","2015-02-18T14:43:01.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","organization '' is located on a server that doesn't have Exchange 2013 ","2015-02-18T14:43:01.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","mailbox 'SystemMailbox{e0dc1c29-89c3-4034-b678-e6c29d823ed9}' for the ","2015-02-18T14:43:01.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","WARNING: You can't search for admin audit log entries because the arbitration ","2015-02-18T14:43:01.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","search for admin audit log entries.","2015-02-18T14:37:11.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","installed. The mailbox must be moved to an Exchange 2013 server before you can ","2015-02-18T14:37:11.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","organization '' is located on a server that doesn't have Exchange 2013 ","2015-02-18T14:37:11.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","mailbox 'SystemMailbox{e0dc1c29-89c3-4034-b678-e6c29d823ed9}' for the ","2015-02-18T14:37:11.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","WARNING: You can't search for admin audit log entries because the arbitration ","2015-02-18T14:37:11.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","search for admin audit log entries.","2015-02-18T14:32:26.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","installed. The mailbox must be moved to an Exchange 2013 server before you can ","2015-02-18T14:32:26.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","organization '' is located on a server that doesn't have Exchange 2013 ","2015-02-18T14:32:26.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","mailbox 'SystemMailbox{e0dc1c29-89c3-4034-b678-e6c29d823ed9}' for the ","2015-02-18T14:32:26.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:AdminAudit","WARNING: You can't search for admin audit log entries because the arbitration ","2015-02-18T14:32:26.000-0800"
