index,host,source,sourcetype,"_raw","_time"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T10:19:09-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Mounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=71.934 LogSize=9437184 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=77237432320 FileDiskCapacity=107372081152 MainPercFree=71.934 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup=""True"" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup=""True"" LastFullBackup=""02/19/2015 09:47:26"" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""02/19/2015 09:33:20""
","2015-02-19T10:19:09.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","WARNING: Exchange can't connect to the Information Store service on server 
TestServer1.spl.com. Make sure that the service is running and that there is 
network connectivity to the server.","2015-02-19T09:31:20.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T09:31:19-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Unmounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=71.847 LogSize=93323264 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=77153017856 FileDiskCapacity=107372081152 MainPercFree=71.856 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup="""" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup="""" LastFullBackup="""" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""""
","2015-02-19T09:31:19.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T08:46:41-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Mounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=72.080 LogSize=89128960 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=77393805312 FileDiskCapacity=107372081152 MainPercFree=72.080 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup="""" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup="""" LastFullBackup="""" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""""
","2015-02-19T08:46:41.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T07:46:36-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Mounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=72.115 LogSize=84934656 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=77431283712 FileDiskCapacity=107372081152 MainPercFree=72.115 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup="""" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup="""" LastFullBackup="""" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""""
","2015-02-19T07:46:36.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T06:46:37-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Mounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=72.392 LogSize=79691776 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=77728645120 FileDiskCapacity=107372081152 MainPercFree=72.392 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup="""" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup="""" LastFullBackup="""" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""""
","2015-02-19T06:46:37.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T05:46:37-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Mounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=72.225 LogSize=74448896 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=77549719552 FileDiskCapacity=107372081152 MainPercFree=72.225 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup="""" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup="""" LastFullBackup="""" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""""
","2015-02-19T05:46:37.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T04:46:39-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Mounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=72.484 LogSize=70254592 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=77827629056 FileDiskCapacity=107372081152 MainPercFree=72.484 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup="""" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup="""" LastFullBackup="""" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""""
","2015-02-19T04:46:39.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T03:46:37-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Mounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=72.759 LogSize=66060288 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=78122754048 FileDiskCapacity=107372081152 MainPercFree=72.759 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup="""" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup="""" LastFullBackup="""" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""""
","2015-02-19T03:46:37.000-0800"
msexchange,TestServer1,Powershell,"MSExchange:2013:Database-Stats","2015-02-19T02:46:37-08:00 Database=""Mailbox Database 0683668603"" Active=""Active"" MasterType=""Server"" Status=""Mounted"" PublicFolderDatabase="""" IsMailboxDatabase=""True"" IsPublicFolderDatabase=""False"" LogFolderPath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603"" LogPercFree=73.034 LogSize=61865984 FilePath=""C:\Program Files\Microsoft\Exchange Server\V15\Mailbox\Mailbox Database 0683668603\Mailbox Database 0683668603.edb"" FileDiskName=C:\ FileDiskFreeSpace=78417682432 FileDiskCapacity=107372081152 MainPercFree=73.034 FileSize=259981312 LocalCopy=""False"" CopyFilePath="""" CopyPercFree=0 CopyFileSize=0 CopyStatus=Disabled SnapshotLastFullBackup="""" SnapshotLastIncrementalBackup="""" SnapshotLastDifferentialBackup="""" SnapshotLastCopyBackup="""" LastFullBackup="""" LastIncrementalBackup="""" LastDifferentialBackup="""" LastCopyBackup=""""
","2015-02-19T02:46:37.000-0800"
