index,host,source,sourcetype,"_raw","_time"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:36 10.80.3.77 POST /mapi/emsmdb/ mailboxId=855dd8a1-db66-4e65-aefa-e02afd30ae2a@spl.com&CorrelationID=<empty>;&cafeReqId=d737cb53-d5ba-4935-bffb-52a8f018b410; 443 SPL\SM_6b886c5e80d14907b 10.80.3.77 MapiHttpClient - 200 0 0 15","2015-01-26T15:54:36.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:36 fe80::d19f:31b2:e416:18c3%12 POST /mapi/emsmdb/ mailboxId=855dd8a1-db66-4e65-aefa-e02afd30ae2a@spl.com&CorrelationID=<empty>;&cafeReqId=9472421b-269e-4f3b-9207-d3fbb3441682; 443 SPL\SM_6b886c5e80d14907b fe80::d19f:31b2:e416:18c3%12 MapiHttpClient - 200 0 0 15","2015-01-26T15:54:36.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:36 10.80.3.77 POST /mapi/emsmdb/ mailboxId=855dd8a1-db66-4e65-aefa-e02afd30ae2a@spl.com&CorrelationID=<empty>;&cafeReqId=0a9c6151-7e5f-499f-9dae-99365d68a2f2; 443 SPL\SM_6b886c5e80d14907b 10.80.3.77 MapiHttpClient - 200 0 0 0","2015-01-26T15:54:36.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:33 127.0.0.1 GET /ecp/ReportingWebService/ &CorrelationID=<empty>;&cafeReqId=ab4fcede-2ba0-475d-953e-9fa212e8478b; 443 - 127.0.0.1 AMProbe/Local/ClientAccess - 302 0 0 0","2015-01-26T15:54:33.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:30 fe80::d19f:31b2:e416:18c3%12 POST /mapi/emsmdb/ mailboxId=9f7205bf-d493-4778-9e7a-65497cd355da@spl.com&CorrelationID=<empty>;&cafeReqId=e0ba3d65-7227-4ce4-aac3-9f3fd5f0d6dd; 443 SPL\SM_6b886c5e80d14907b fe80::d19f:31b2:e416:18c3%12 MapiHttpClient - 200 0 0 15","2015-01-26T15:54:30.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:30 10.80.3.77 POST /mapi/emsmdb/ mailboxId=9f7205bf-d493-4778-9e7a-65497cd355da@spl.com&CorrelationID=<empty>;&cafeReqId=ac446242-fcf7-47fe-b620-084e86f0539f; 443 SPL\SM_6b886c5e80d14907b 10.80.3.77 MapiHttpClient - 200 0 0 15","2015-01-26T15:54:30.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:30 fe80::d19f:31b2:e416:18c3%12 POST /mapi/emsmdb/ mailboxId=9f7205bf-d493-4778-9e7a-65497cd355da@spl.com&CorrelationID=<empty>;&cafeReqId=23336c47-c41e-4de8-9a5c-7cc1238c7b9c; 443 SPL\SM_6b886c5e80d14907b fe80::d19f:31b2:e416:18c3%12 MapiHttpClient - 200 0 0 15","2015-01-26T15:54:30.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:27 fe80::d19f:31b2:e416:18c3%12 RPC_OUT_DATA /rpc/rpcproxy.dll 855dd8a1-db66-4e65-aefa-e02afd30ae2a@spl.com:6001&CorrelationID=<empty>;&RequestId=b869f5ad-09e5-4f8a-913c-ddefb5e13837&cafeReqId=b869f5ad-09e5-4f8a-913c-ddefb5e13837; 80 SPL\SM_6b886c5e80d14907b fe80::d19f:31b2:e416:18c3%12 MSRPC - 200 0 64 96087","2015-01-26T15:54:27.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:27 fe80::d19f:31b2:e416:18c3%12 RPC_IN_DATA /rpc/rpcproxy.dll 855dd8a1-db66-4e65-aefa-e02afd30ae2a@spl.com:6001&CorrelationID=<empty>;&RequestId=ec064abd-65e0-4918-b766-e920f2cb741e&cafeReqId=ec064abd-65e0-4918-b766-e920f2cb741e; 80 SPL\SM_6b886c5e80d14907b fe80::d19f:31b2:e416:18c3%12 MSRPC - 200 0 64 96087","2015-01-26T15:54:27.000-0800"
msexchange,TestServer1,"C:\inetpub\logs\LogFiles\W3SVC1\u_ex150126.log","MSWindows:2012:IIS","2015-01-26 23:54:27 ::1 GET /OWA/Calendar/HealthMailbox3db5a48fa4854c9fa1762f0a921f736b@spl.com/calendar/calendar.html &CorrelationID=<empty>;&cafeReqId=cf6c4864-113b-449a-9d88-e34ffe0e1398; 443 - ::1 AMProbe/Local/ClientAccess - 200 0 0 0","2015-01-26T15:54:27.000-0800"
