index,host,source,sourcetype,"_raw","_time"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""# Bytes in all Heaps""
instance=w3wp#9
Value=86276912","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""% Time in GC""
instance=w3wp#9
Value=0.031632724046565766","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""# Bytes in all Heaps""
instance=w3wp#8
Value=47787040","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""% Time in GC""
instance=w3wp#8
Value=0.0019695017532782135","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""# Bytes in all Heaps""
instance=w3wp#7
Value=22860336","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""% Time in GC""
instance=w3wp#7
Value=0.0021380637714711898","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""# Bytes in all Heaps""
instance=w3wp#6
Value=59038112","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""% Time in GC""
instance=w3wp#6
Value=0.18427703884372695","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""# Bytes in all Heaps""
instance=w3wp#5
Value=69068968","2015-01-29T14:36:28.120-0800"
perfmon,TestServer1,"Perfmon:DotNET_CLR_Memory","Perfmon:DotNET_CLR_Memory","01/29/2015 14:36:28.120 -0800
collection=DotNET_CLR_Memory
object="".NET CLR Memory""
counter=""% Time in GC""
instance=w3wp#5
Value=0.0011581576867243967","2015-01-29T14:36:28.120-0800"
