index,host,source,sourcetype,"_raw","_time"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:35:06.953 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=17","2015-01-29T14:35:06.953-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:34:56.921 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=17","2015-01-29T14:34:56.921-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:34:46.971 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=17","2015-01-29T14:34:46.971-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:34:36.940 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=15","2015-01-29T14:34:36.940-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:34:26.924 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=15","2015-01-29T14:34:26.924-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:34:16.941 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:34:16.941-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:34:06.939 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=9","2015-01-29T14:34:06.939-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:33:56.926 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=10","2015-01-29T14:33:56.926-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:33:46.955 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=9","2015-01-29T14:33:46.955-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:33:36.941 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:33:36.941-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:33:26.925 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:33:26.925-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:33:16.958 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:33:16.958-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:33:06.947 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:33:06.947-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:32:56.934 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:32:56.934-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:32:46.937 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:32:46.937-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:32:36.945 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=15","2015-01-29T14:32:36.945-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:32:26.909 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=15","2015-01-29T14:32:26.909-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:32:16.966 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=15","2015-01-29T14:32:16.966-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:32:06.949 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=11","2015-01-29T14:32:06.949-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:31:56.954 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=11","2015-01-29T14:31:56.954-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:31:46.957 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:31:46.957-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:31:36.936 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:31:36.936-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:31:26.977 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:31:26.977-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:31:16.987 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:31:16.987-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:31:06.939 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=9","2015-01-29T14:31:06.939-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:30:56.932 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=9","2015-01-29T14:30:56.932-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:30:46.927 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=9","2015-01-29T14:30:46.927-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:30:36.943 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:30:36.943-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:30:26.938 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=19","2015-01-29T14:30:26.938-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:30:16.947 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=19","2015-01-29T14:30:16.947-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:30:06.948 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=19","2015-01-29T14:30:06.948-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:29:56.935 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=19","2015-01-29T14:29:56.935-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:29:46.947 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=19","2015-01-29T14:29:46.947-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:29:36.946 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=17","2015-01-29T14:29:36.946-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:29:26.927 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=17","2015-01-29T14:29:26.927-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:29:16.941 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=15","2015-01-29T14:29:16.941-0800"
perfmon,TestServer1,"Perfmon:ASP_NET","Perfmon:ASP_NET","01/29/2015 14:29:06.942 -0800
collection=ASP_NET
object=ASP.NET
counter=""Requests Current""
instance=0
Value=13","2015-01-29T14:29:06.942-0800"
