index,host,source,sourcetype,"_raw","_time"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:30:38.049 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.099902099938144626","2015-01-29T14:30:38.049-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:30:38.049 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.0014254000000000001","2015-01-29T14:30:38.049-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:30:08.089 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.3019071747948246","2015-01-29T14:30:08.089-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:30:08.089 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""RBAC Sessions/sec""
instance=0
Value=0.1006357249316082","2015-01-29T14:30:08.089-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:30:08.089 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces/sec""
instance=0
Value=0.1006357249316082","2015-01-29T14:30:08.089-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:30:08.089 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces - Average Active Time""
instance=0
Value=0.037894700000000003","2015-01-29T14:30:08.089-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:30:08.089 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces - Activations/sec""
instance=0
Value=0.1006357249316082","2015-01-29T14:30:08.089-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:30:08.089 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.10738180000000001","2015-01-29T14:30:08.089-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:29:38.040 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.099952707376504801","2015-01-29T14:29:38.040-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:29:38.040 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.00074019999999999999","2015-01-29T14:29:38.040-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:28:38.023 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.10267462258092172","2015-01-29T14:28:38.023-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:28:38.023 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.0040356000000000003","2015-01-29T14:28:38.023-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:28:08.035 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.30602167416868598","2015-01-29T14:28:08.035-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:28:08.035 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""RBAC Sessions/sec""
instance=0
Value=0.10200722472289533","2015-01-29T14:28:08.035-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:28:08.035 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces/sec""
instance=0
Value=0.10200722472289533","2015-01-29T14:28:08.035-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:28:08.035 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces - Average Active Time""
instance=0
Value=0.018024100000000001","2015-01-29T14:28:08.035-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:28:08.035 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces - Activations/sec""
instance=0
Value=0.10200722472289533","2015-01-29T14:28:08.035-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:28:08.035 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.070309466666666667","2015-01-29T14:28:08.035-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:27:38.145 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.098758742839917077","2015-01-29T14:27:38.145-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:27:38.145 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.0027699999999999999","2015-01-29T14:27:38.145-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:26:38.136 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.10097003018670701","2015-01-29T14:26:38.136-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:26:38.136 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.0018786","2015-01-29T14:26:38.136-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:25:38.020 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.10177828029107366","2015-01-29T14:25:38.020-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:25:38.020 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.0011682000000000001","2015-01-29T14:25:38.020-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:25:08.027 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Activations/sec""
instance=0
Value=0.29946326300980963","2015-01-29T14:25:08.027-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:25:08.027 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""RBAC Sessions/sec""
instance=0
Value=0.09982108766993654","2015-01-29T14:25:08.027-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:25:08.027 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces/sec""
instance=0
Value=0.09982108766993654","2015-01-29T14:25:08.027-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:25:08.027 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces - Average Active Time""
instance=0
Value=0.032947400000000002","2015-01-29T14:25:08.027-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:25:08.027 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""PowerShell Runspaces - Activations/sec""
instance=0
Value=0.09982108766993654","2015-01-29T14:25:08.027-0800"
perfmon,TestServer1,"Perfmon:MSExchange_Control_Panel","Perfmon:MSExchange_Control_Panel","01/29/2015 14:25:08.027 -0800
collection=MSExchange_Control_Panel
object=""MSExchange Control Panel""
counter=""Requests - Average Response Time""
instance=0
Value=0.07956273333333333","2015-01-29T14:25:08.027-0800"
