index,host,source,sourcetype,"_raw","_time"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:14:56.917 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.5456325433517168","2015-01-29T14:14:56.917-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:14:46.940 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=5.3690027345696389","2015-01-29T14:14:46.940-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:14:36.926 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=8.6001224808440853","2015-01-29T14:14:36.926-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:14:26.942 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=4.2779813107181823","2015-01-29T14:14:26.942-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:14:16.928 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=16.490039839839199","2015-01-29T14:14:16.928-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:14:06.946 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=4.8872930051105268","2015-01-29T14:14:06.946-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:13:56.909 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=12.576813496033557","2015-01-29T14:13:56.909-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:13:46.953 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.5727381920916947","2015-01-29T14:13:46.953-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:13:36.938 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.8548176178568863","2015-01-29T14:13:36.938-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:13:26.921 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.0677619380153556","2015-01-29T14:13:26.921-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:13:16.938 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.4478642940542583","2015-01-29T14:13:16.938-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:13:06.923 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=3.849292099626167","2015-01-29T14:13:06.923-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:12:56.909 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.4208166226855954","2015-01-29T14:12:56.909-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:12:46.925 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.8076192293711277","2015-01-29T14:12:46.925-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:12:36.937 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.8963332347610726","2015-01-29T14:12:36.937-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:12:26.921 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.193407577642259","2015-01-29T14:12:26.921-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:12:16.940 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=25.268489347915413","2015-01-29T14:12:16.940-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:12:06.930 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=26.161270252840829","2015-01-29T14:12:06.930-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:11:56.916 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=3.0531839931328686","2015-01-29T14:11:56.916-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:11:46.947 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.8605181168386951","2015-01-29T14:11:46.947-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:11:36.930 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=2.9553277513812981","2015-01-29T14:11:36.930-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:11:26.932 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=43.359932904660894","2015-01-29T14:11:26.932-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:11:16.932 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=38.289646002604186","2015-01-29T14:11:16.932-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:11:06.943 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=6.3183425241971181","2015-01-29T14:11:06.943-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:10:56.927 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=1.643507721590276","2015-01-29T14:10:56.927-0800"
perfmon,TestServer1,"Perfmon:Total_Processor_Time","Perfmon:Total_Processor_Time","01/29/2015 14:10:46.943 -0800
collection=Total_Processor_Time
object=Processor
counter=""% Processor Time""
instance=_Total
Value=3.0783267150448212","2015-01-29T14:10:46.943-0800"
