index,host,source,sourcetype,"_raw","_time"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:24:36.950 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29770","2015-01-29T14:24:36.950-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:24:36.950 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=30","2015-01-29T14:24:36.950-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:24:26.951 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29754","2015-01-29T14:24:26.951-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:24:26.951 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=30","2015-01-29T14:24:26.951-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:24:16.940 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29741","2015-01-29T14:24:16.940-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:24:16.940 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=32","2015-01-29T14:24:16.940-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:24:06.949 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29741","2015-01-29T14:24:06.949-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:24:06.949 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=30","2015-01-29T14:24:06.949-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:56.918 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29739","2015-01-29T14:23:56.918-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:56.918 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=28","2015-01-29T14:23:56.918-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:46.927 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29739","2015-01-29T14:23:46.927-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:46.927 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=28","2015-01-29T14:23:46.927-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:36.927 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29739","2015-01-29T14:23:36.927-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:36.927 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=30","2015-01-29T14:23:36.927-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:26.938 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29739","2015-01-29T14:23:26.938-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:26.938 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=30","2015-01-29T14:23:26.938-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:16.943 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29739","2015-01-29T14:23:16.943-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:16.943 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=30","2015-01-29T14:23:16.943-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:06.956 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29701","2015-01-29T14:23:06.956-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:23:06.956 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=28","2015-01-29T14:23:06.956-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:22:56.928 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Reset""
instance=0
Value=29698","2015-01-29T14:22:56.928-0800"
perfmon,TestServer1,"Perfmon:TCPv4","Perfmon:TCPv4","01/29/2015 14:22:56.928 -0800
collection=TCPv4
object=TCPv4
counter=""Connections Established""
instance=0
Value=30","2015-01-29T14:22:56.928-0800"
